author;author_xml;book_n;poem_title;line_n;text;met
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;1;Ay! cors avar, scàs, richs de mercè,;-+-+--+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;2;larges e franchs, de tot’ onor complida,;+--+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;3;"lo mils del món; si no us hay fayt per què,";-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;4;las!, com voletz axí fenir me vida?;-+-+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;5;Trist, enguxós, desemat, plen d’esmay,;+--+---+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;6;amorós bast de tota grieu tristura,;+--+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;7;pus qu’yeu no suy vostre, de qui seray?;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;8;Mort, vina tost, fenex m’aspre ventura!;-+-+--+--+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;9;Abandonats, cuy Amors no sosté,;-+-++-+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;10;marrits, caytius, hon hauray may gandida;-+-++--+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;11;pus la non-par e millor de tot bé;+--+--+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;12;no·m vol per syeu e’b non chaler oblida;-+-+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;13;la fin’ amor e·l bon voler qu’yeu hay,;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;14;e mon las cor d’autre ’mar ges no·s cura?;+--+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;15;Pus qu’yeu no suy vostre, de qui seray?;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;16;Mort, vine tost, fenex m’aspre ventura!;-+-+--+--+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;17;Mala viu hanch la dolçor qui us menté;+--+--+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;18;e·l fin gay pretz d’on etz la mils aybida,;-+-+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;19;e mal’ anch viu me ferma leyal fe;-+-+-+---+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;20;qu’autre plaser jamés de vós hauray,;+--+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;21;mas solamén l’amor, si us par dretura.;+--+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;22;Mort, vina tost, feneix m’aspre ventura!;-+-+--+--+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;23;Loindan’amor, tot quant vey say ne lay;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;1.txt;24;m’és vil e leu com l’ombre qui pauch dura.;-+-+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;1;Ja per dir vos mon cor e mon talan,;+--+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;2;belha, no·m cal venir may denan vós,;+--+--+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;3;car ab acort ferm e volenterós;+--+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;4;vos suy vengutz, dona, mil vetz denan;-+-++--+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;5;qu’yeu vos dixés mon cor e ma ’ntendença;+--+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;6;"e com per vós muyr aman finamén;";-+-+--+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;7;mas lay on cuyt haver plus d’atrivença,;-+-+--+--+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;8;D’on yeu maldich l’amor qu’el començar;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;9;me pres de vós ab ten gran senyoriu,;-+-+--+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;10;car luy de vós ab coratge fortiu;-+-+--+--+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;11;vos prech e us gos dir que·m vulhats amar,;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;12;e us quir mercè e us responch ses dubtança,;-+-+---+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;13;e suy de vós alegres e jausén.;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;14;Veus ab quin joy nez ab qual benenança;+--+--+--+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;15;pas cascun jorn mon amorós turmén!;+--+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;16;E mantes vets axí pensant m’oblit;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;17;tant fort que si·m saluden no·l respon,;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;18;d’on li plusor dison qu’ergulós són,;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;19;ez yeu d’ayçò no n’auray res ausit.;-+-+-+-+-+
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;20;Ay Diéu!, qui pot penssar com hieu seria;-+-+-+-+-+-
Febrer i Callís, Andreu;Andreu Febrer.xml;poesies;11.txt;21;plus d’argulhós, dona, si yeu hagués;+--++--+-+
