autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;1;      Ay! cors avar, scàs, richs de mercè,;ay#CORS#a.VAR#es.càs#RICHS#de#mer.CÈ;0;4;0;5;0;1;4;0;0;5;10;0;4+6;;7;[1, 1, 2, 2, 1, 1, 2];3;4.0;0101 001001;0405 014005;True;w.S.wS.ww.S.w.wS|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;2;          larges e franchs, de tot’ onor complida,;LAR.ges#e#FRANCHS#de#TOT#o.NOR#com.PLI.da;4;0;0;5;0;2;0;4;0;5;10;1;4+6;;7;[2, 1, 1, 1, 1, 2, 3];3;4.0;1001 010101;4005 020405;;Sw.w.S.w.S.wS.wSw|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;3;"          lo mils del món; si no us hay fayt per què,";lo#MILS#del#MÓN#si#NO‿US#hay#FAYT#per#QUÈ;0;4;0;5;0;3;0;4;0;5;10;0;4+6;;11;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];4;6.0;0101 010101;0405 030405;;w.S.w.S.w.S.w.S.w.S|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;4;          las!, com voletz axí fenir me vida?;las#COM#vo.LETZ#a.XÍ#fe.NIR#me#VI.da;0;2;0;5;0;4;0;4;0;5;10;1;4+6;;7;[1, 1, 2, 2, 2, 1, 2];3;4.0;0101 010101;0205 040405;;w.S.wS.wS.wS.w.Sw|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;5;          Trist, enguxós, desemat, plen d’esmay,;TRIST#en.gu.XÓS#de.e.mat#PLEN#d'es.MAY;4;0;0;5;0;0;1;4;0;5;10;0;4+6;;5;[1, 3, 3, 1, 2];2;3.0;1001 000101;4005 001405;;S.wwS.www.S.wS|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;6;          amorós bast de tota grieu tristura,;A.mo.rós#BAST#de#TO.ta#GRIEU#tris.TU.ra;2;0;1;5;0;3;0;4;0;5;10;1;4+6;['sinèresi'];6;[3, 1, 1, 2, 1, 3];2;4.0;1001 010101;2015 030405;;Sww.S.w.Sw.S.wSw|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;7;          pus qu’yeu no suy vostre, de qui seray?;pus#QU'YEU#no#SUY#vos.TRE#de#QUI#se.RAY;0;4;0;5;0;2;0;2;0;5;10;0;4+6;;8;[1, 1, 1, 1, 2, 1, 1, 2];4;4.0;0101 010101;0405 020205;;w.S.w.S.wS.w.S.wS|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;8;          Mort, vina tost, fenex m’aspre ventura!;mort#VI.na#TOST#fe.nex#M'AS.pre#ven.TU.ra;0;4;0;5;0;1;4;0;0;5;10;1;4+6;;6;[1, 2, 1, 2, 2, 3];3;3.0;0101 001001;0405 014005;;w.Sw.S.ww.Sw.wSw|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;9;          Abandonats, cuy Amors no sosté,;a.BAN.do.NATS#CUY#a.MORS#no#sos.TÉ;0;2;0;5;4;0;4;0;0;5;10;0;4+6;;5;[4, 1, 2, 1, 2];1;4.0;0101 101001;0205 404005;;wSwS.S.wS.w.wS|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;10;         marrits, caytius, hon hauray may gandida;mar.RITS#cay.TIUS#HON#hau.ray#MAY#gan.DI.da;0;4;0;5;4;0;1;4;0;5;10;1;4+6;;6;[2, 2, 1, 2, 1, 3];2;4.0;0101 100101;0405 401405;;wS.wS.S.ww.S.wSw|
Andreu Febrer;Febrer i Callí­s, Andreu;1375;1444;;Vic;central;Q3616238;28550789;Poemes rao59;1400;False;;1.txt;11;         pus la non-par e millor de tot bé;PUS#la#non#PAR#e#mi.LLOR#de#tot#BÉ;4;0;1;5;0;0;4;0;0;5;10;0;4+6;;9;[1, 1, 1, 1, 1, 2, 1, 1, 1];4;5.0;1001 001001;4015 004005;;S.w.w.S.w.wS.w.w.S|
