autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;1; Anciós tot de l’amagat engan,;AN.ci.ós#TOT#de#L'A.ma.GAT#en.GAN;2;0;1;5;0;2;0;4;0;5;10;0;4+6;;5;[3, 1, 1, 3, 2];2;3.0;1001 010101;2015 020405;;Sww.S.w.SwS.wS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;2;ficte, causat contra la pensa mia;FIC.te#cau.SAT#con.TRA#la#PEN.sa#MI.a;4;0;0;5;0;2;0;4;0;5;10;1;4+6;;6;[2, 2, 2, 1, 2, 2];2;4.0;1001 010101;4005 020405;;Sw.wS.wS.w.Sw.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;3; covench a mi congoxar de mon dan;co.VENCH#a#MI#con.go.XAR#de#mon#DAN;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;7;[2, 1, 1, 3, 1, 1, 1];3;4.0;0101 001001;0405 004005;;wS.w.S.wwS.w.w.S|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;4; e més avant no fos son amador.;e#MÉS#a.VANT#no#FOS#son#A.ma.DOR;0;3;0;5;0;3;0;2;0;5;10;0;4+6;;7;[1, 1, 2, 1, 1, 1, 3];3;4.0;0101 010101;0305 030205;;w.S.wS.w.S.w.SwS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;5; que dolor gran occupa mon entendre,;QUE#do.lor#GRAN#oc.CU.pa#MON#en.TEN.dre;2;0;1;5;0;4;0;2;0;5;10;1;4+6;;6;[1, 2, 1, 3, 1, 3];3;3.0;1001 010101;2015 040205;;S.ww.S.wSw.S.wSw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;6; en aquell punt, quant me viu luny e fora;EN#a.quell#PUNT#quant#ME#viu#LUNY#e#FO.ra;2;0;1;5;0;2;1;4;0;5;10;1;4+6;;9;[1, 2, 1, 1, 1, 1, 1, 1, 2];3;6.0;1001 010101;2015 021405;;S.ww.S.w.S.w.S.w.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;7; Arbitrant jo mon cor enamorat;AR.bi.trant#JO#mon#COR#en.A.mo.RAT;2;0;1;5;0;4;0;2;0;5;10;0;4+6;;5;[3, 1, 1, 1, 4];2;3.0;1001 010101;2015 040205;;Sww.S.w.S.wSwS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;8; e no volgués vanament axí creure;e#NO#vol.GUÉS#va.na.MENT#a.xí#CREU.re;0;3;0;5;0;0;4;0;1;5;10;1;4+6;;6;[1, 1, 2, 3, 2, 2];3;3.0;0101 001001;0305 004015;;w.S.wS.wwS.ww.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;9; Callat mon dir, son parlar sobrevench;ca.LLAT#mon#DIR#son#par.LAR#so.bre.VENC;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;6;[2, 1, 1, 1, 2, 3];3;3.0;0101 001001;0405 004005;;wS.w.S.w.wS.wwS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;10; e pus novell que may acostumave,;e#PUS#no.VELL#que#MAY#a.COS.tu.MA.ve;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;6;[1, 1, 2, 1, 1, 5];3;3.0;0101 010101;0405 040205;;w.S.wS.w.S.wSwSw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;11; alt donant veus e contra mi surrave;ALT#do.nant#VEUS#e#CON.tra#MI#sur.RA.ve;4;0;1;5;0;3;0;2;0;5;10;1;4+6;;7;[1, 2, 1, 1, 2, 1, 3];3;4.0;1001 010101;4015 030205;;S.ww.S.w.Sw.S.wSw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;12; Aprés me dix, ab paraula no clusa :;a.PRÉS#me#DIX#ab#pa.RAU.la#no#CLU.sa;0;4;0;5;0;0;4;0;1;5;10;1;4+6;;7;[2, 1, 1, 1, 3, 1, 2];3;4.0;0101 001001;0405 004015;;wS.w.S.w.wSw.w.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;13; Lo qual me plau, e no fall qui tal usa,;LO#qual#me#PLAU#e#no#FALL#qui#tal#U.sa;2;0;0;5;0;1;4;0;1;5;10;1;4+6;;10;[1, 1, 1, 1, 1, 1, 1, 1, 1, 2];4;6.0;1001 001001;2005 014015;;S.w.w.S.w.w.S.w.w.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;14; Si dolor greu cascun amant lengueix;SI#do.lor#GREU#cas.CUN#a.MANT#len.GUEIX;2;0;1;5;0;2;0;4;0;5;10;0;4+6;;6;[1, 2, 1, 2, 2, 2];3;3.0;1001 010101;2015 020405;;S.ww.S.wS.wS.wS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;15;" poch anar sab, que·l sehy perdre no degua;";POCH#a.nar#SAB#que'l#sehy#PER.dre#no#DE.gua;4;0;1;5;0;1;4;0;1;5;10;1;4+6;['sinèresi'];8;[1, 2, 1, 1, 1, 2, 1, 2];3;5.0;1001 001001;4015 014015;;S.ww.S.w.w.Sw.w.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;16; vivint segur, sa culpa no ho mereix.;vi.VINT#se.GUR#sa#CUL.pa#NO‿HO#me.REIX;0;4;0;5;0;4;0;3;0;5;10;0;4+6;;7;[2, 2, 1, 2, 1, 1, 2];2;4.0;0101 010101;0405 040305;;wS.wS.w.Sw.S.wS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;17; revocat tot de mon prepòsit vist,;RE.vo.cat#TOT#de#MON#pre.PÒ.sit#VIST;2;0;1;5;0;2;0;4;0;5;10;0;4+6;;6;[3, 1, 1, 1, 3, 1];2;4.0;1001 010101;2015 020405;;Sww.S.w.S.wSw.S|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;18; de seny fallit, correguí mes que vira,;de#SENY#fa.LLIT#cor.re.GUÍ#mes#que#VI.ra;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;7;[1, 1, 2, 3, 1, 1, 2];3;4.0;0101 001001;0405 004005;;w.S.wS.wwS.w.w.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;19; tot furiós, defora, perdut, trist.;tot#FU.ri.ÓS#de.FO.ra#per.dut#TRIST;0;2;0;5;0;4;0;0;1;5;10;0;4+6;;5;[1, 3, 3, 2, 1];2;3.0;0101 010001;0205 040015;;w.SwS.wSw.ww.S|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;20; Estrany ja fet lo meu seny conegut,;es.TRANY#ja#FET#lo#meu#SENY#co.ne.GUT;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;7;[2, 1, 1, 1, 1, 1, 3];3;4.0;0101 001001;0405 004005;;wS.w.S.w.w.S.wwS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;21; regint-me sol pel estint de natura,;re.GINT#me#SOL#pel#es.TINT#de#na.TU.ra;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;7;[2, 1, 1, 1, 2, 1, 3];3;4.0;0101 001001;0405 004005;;wS.w.S.w.wS.w.wSw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;22; hon ma dolor devenir me feu mut;HON#ma#do.LOR#de.ve.NIR#me#feu#MUT;4;1;0;5;0;0;4;0;1;5;10;0;4+6;;7;[1, 1, 2, 3, 1, 1, 1];3;4.0;1001 001001;4105 004015;;S.w.wS.wwS.w.w.S|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;23; e perlaments hoý dins e murmur.;e#PER.la.MENTS#ho.Í#dins#E#mur.MUR;0;2;0;5;0;4;0;2;0;5;10;0;4+6;;6;[1, 3, 2, 1, 1, 2];2;4.0;0101 010101;0205 040205;;w.SwS.wS.w.S.wS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;24; Fet ignorant jo del trobat jardí;FET#ig.no.RANT#jo#DEL#tro.BAT#jar.DÍ;4;0;0;5;0;2;0;4;0;5;10;0;4+6;;6;[1, 3, 1, 1, 2, 2];2;4.0;1001 010101;4005 020405;;S.wwS.w.S.wS.wS|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;25; arbres e flors e gesmins per tot cayre;AR.bres#e#FLORS#e#ges.MINS#per#tot#CAY.re;4;0;0;5;0;0;4;0;0;5;10;1;4+6;;8;[2, 1, 1, 1, 2, 1, 1, 2];3;5.0;1001 001001;4005 004005;;Sw.w.S.w.wS.w.w.Sw|
Antoni Vallmanya;Vallmanya, Antoni;1429;1490;;Barcelona;central;;;Poesies;;False;;1.txt;26; entrelliçats de verdor viu luhir.;en.TRE.lli.ÇATS#de#ver.dor#VIU#lu.IR;0;2;0;5;0;0;1;4;0;5;10;0;4+6;;5;[4, 1, 2, 1, 2];1;4.0;0101 000101;0205 001405;;wSwS.w.ww.S.wS|
