autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;1; no pase jorn que·l sagrament no·t begues;no#PA.se#JORN#que'l#SA.gra.MENT#no't#BE.gues;1;4;0;5;0;2;0;4;0;5;10;1;4+6;;7;[1, 2, 1, 1, 3, 1, 2];3;4.0;0101 010101;1405 020405;;w.Sw.S.w.SwS.w.Sw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;2;" com a infel, menscrahent de ta ley;";com#A#in.FEL#mens.cra.HENT#de#ta#LEY;0;2;0;5;0;0;4;0;0;5;10;0;4+6;;7;[1, 1, 2, 3, 1, 1, 1];3;4.0;0101 001001;0205 004005;;w.S.wS.wwS.w.w.S|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;3; no es al món ten malvat, segons vey.;NO#es#al#MÓN#ten#mal.VAT#se.gons#VEY;3;0;0;5;0;0;4;0;1;5;10;0;4+6;;8;[1, 1, 1, 1, 1, 2, 2, 1];4;4.0;1001 001001;3005 004015;;S.w.w.S.w.wS.ww.S|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;4; Tu vas fugent, no ausas far batalla,;tu#VAS#fu.GENT#no#AU.sas#FAR#ba.TA.lla;0;4;0;5;0;4;0;4;0;5;10;1;4+6;;7;[1, 1, 2, 1, 2, 1, 3];3;4.0;0101 010101;0405 040405;;w.S.wS.w.Sw.S.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;5; por has del foch, la coha tens de palla.;POR#has#del#FOCH#la#CO.ha#TENS#de#PA.lla;4;1;0;5;0;4;0;4;0;5;10;1;4+6;;9;[1, 1, 1, 1, 1, 2, 1, 1, 2];4;5.0;1001 010101;4105 040405;;S.w.w.S.w.Sw.S.w.Sw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;6; ben has mostrat aver por e temença;ben#HAS#mos.TRAT#a.ver#POR#e#te.MEN.ça;0;3;0;5;0;1;4;0;0;5;10;1;4+6;;7;[1, 1, 2, 2, 1, 1, 3];3;4.0;0101 001001;0305 014005;;w.S.wS.ww.S.w.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;7; despuys trobist qui·t provech tes falcies.;des.PUYS#tro.BIST#qui't#pro.VECH#tes#fal.CI.es;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;6;[2, 2, 1, 2, 1, 3];2;4.0;0101 001001;0405 004005;;wS.wS.w.wS.w.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;8;" Tu est confés per ta carta pubblica;";tu#EST#con.FÉS#per#ta#CAR.ta#pub.BLI.ca;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;7;[1, 1, 2, 1, 1, 2, 3];3;4.0;0101 001001;0405 004005;;w.S.wS.w.w.Sw.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;9; Ab Judes fas tot sovint companyia.;ab#JU.des#FAS#tot#so.VINT#com.pa.NYI.a;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;6;[1, 2, 1, 1, 2, 4];3;3.0;0101 001001;0405 004005;;w.Sw.S.w.wS.wwSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;10; Bé tench per foll qui sa muller ta ffia.;bé#TENCH#per#FOLL#qui#SA#mu.LLER#ta#FFI.a;0;4;0;5;0;2;0;4;0;5;10;1;4+6;;9;[1, 1, 1, 1, 1, 1, 2, 1, 2];4;5.0;0101 010101;0405 020405;;w.S.w.S.w.S.wS.w.Sw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;11; on pots anar ab aytal entresenya?;on#POTS#a.NAR#ab#ay.TAL#en.tre.SE.nya;1;3;0;5;0;0;4;0;0;5;10;1;4+6;;6;[1, 1, 2, 1, 2, 4];3;3.0;0101 001001;1305 004005;;w.S.wS.w.wS.wwSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;12; Consell te do que vages en Serdenya,;con.SELL#te#DO#que#VA.ges#EN#ser.DE.nya;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;7;[2, 1, 1, 1, 2, 1, 3];3;4.0;0101 010101;0405 040205;;wS.w.S.w.Sw.S.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;13; car los arauts portaran sobrevesta;CAR#los#a.RAUTS#por.ta.RAN#so.bre.VES.ta;4;0;0;5;0;0;4;0;0;5;10;1;4+6;;5;[1, 1, 2, 3, 4];3;2.0;1001 001001;4005 004005;;S.w.wS.wwS.wwSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;14; Dins en Rodes ez enquer en Costança;DINS#en#RO.des#EZ#en.QUER#en#cos.TAN.ça;3;0;4;0;5;0;4;0;0;5;10;1;5+5;;7;[1, 1, 2, 1, 2, 1, 3];4;3.0;10101 01001;30405 04005;;S.w.Sw.S.wS.w.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;15; per tot lo món te cridaran no fuges,;per#TOT#lo#MÓN#te#CRI.da.RAN#no#FU.ges;0;2;0;5;0;2;0;4;0;5;10;1;4+6;;8;[1, 1, 1, 1, 1, 3, 1, 2];4;4.0;0101 010101;0205 020405;;w.S.w.S.w.SwS.w.Sw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;16; e les dones qui son dins en Alguayre.;e#les#DO.nes#qui#SON#dins#EN#al.GUAY.re;0;0;4;0;0;5;0;2;0;5;10;1;6+4;;8;[1, 1, 2, 1, 1, 1, 1, 3];5;3.0;001001 0101;004005 0205;;w.w.Sw.w.S.w.S.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;17; tal por aguist quant ausist la demanda;tal#POR#a.GUIST#QUANT#au.SIST#la#de.MAN.da;1;4;0;5;4;0;4;0;0;5;10;1;4+6;;7;[1, 1, 2, 1, 2, 1, 3];3;4.0;0101 101001;1405 404005;;w.S.wS.S.wS.w.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;18; no·t plague ges auzir aytals novelles;no't#PLA.gue#GES#au.ZIR#ay.TALS#no.VE.lles;0;4;0;5;0;4;0;4;0;5;10;1;4+6;;6;[1, 2, 1, 2, 2, 3];3;3.0;0101 010101;0405 040405;;w.Sw.S.wS.wS.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;19; quant te remí cors a cors de combatre.;quant#TE#re.MÍ#CORS#a#CORS#de#com.BA.tre;0;2;0;5;4;0;4;0;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 1, 1, 3];3;5.0;0101 101001;0205 404005;;w.S.wS.S.w.S.w.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;20; Judes malvat, per què·t lexes abatre?;JU.des#mal.VAT#per#què't#LE.xes#a.BA.tre;4;0;0;5;0;1;4;0;0;5;10;1;4+6;;6;[2, 2, 1, 1, 2, 3];2;4.0;1001 001001;4005 014005;;Sw.wS.w.w.Sw.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;21; vituperat e ab paucha vergonya,;vi.TU.pe.RAT#e#ab#PAU.cha#ver.GO.nya;0;2;0;5;0;0;4;0;0;5;10;1;4+6;;5;[4, 1, 1, 2, 3];1;4.0;0101 001001;0205 004005;;wSwS.w.w.Sw.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;22; carn de masell e sutze pien de ronya:;CARN#de#ma.SELL#e#SUT.ze#PIEN#de#RO.nya;4;0;0;5;0;4;0;4;0;5;10;1;4+6;['sinèresi'];8;[1, 1, 2, 1, 2, 1, 1, 2];3;5.0;1001 010101;4005 040405;;S.w.wS.w.Sw.S.w.Sw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;23; per què no vas sercant algun remey?;per#QUÈ#no#VAS#ser.CANT#al.GUN#re.MEY;0;3;0;5;0;4;0;2;0;5;10;0;4+6;;7;[1, 1, 1, 1, 2, 2, 2];4;3.0;0101 010101;0305 040205;;w.S.w.S.wS.wS.wS|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;24; car lo Setan de tots bens le·t desarma;CAR#lo#se.TAN#de#TOTS#bens#LE'T#de.SAR.ma;4;0;0;5;0;2;1;4;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 1, 1, 3];3;5.0;1001 010101;4005 021405;;S.w.wS.w.S.w.S.wSw|
Arnau d'Erill;d'Erill, Arnau;1380;1450;;Barcelona;central;Q19289883;;Poesies;;False;;1.txt;25; pus que·l prenguist del tot per ton senyor,;PUS#que'l#pren.GUIST#del#TOT#per#TON#se.NYOR;4;0;0;5;0;2;0;2;0;5;10;0;4+6;;8;[1, 1, 2, 1, 1, 1, 1, 2];3;5.0;1001 010101;4005 020205;;S.w.wS.w.S.w.S.wS|
