autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;1; A Deu primer, qui es causa causant,;a#DEU#pri.MER#qui#es#CAU.sa#cau.SANT;0;3;0;5;0;0;4;0;0;5;10;0;4+6;;7;[1, 1, 2, 1, 1, 2, 2];3;4.0;0101 001001;0305 004005;;w.S.wS.w.w.Sw.wS|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;2; tot conprenent e per si 'nconprensible,;tot#CON.pre.NENT#e#per#SI'#ncon.pren.SI.ble;0;2;0;5;0;0;4;0;0;5;10;1;4+6;;6;[1, 3, 1, 1, 1, 4];2;4.0;0101 001001;0205 004005;;w.SwS.w.w.S.wwSw|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;3; genols ficats, estich lahor donant;ge.NOLS#fi.CATS#es.TICH#la.HOR#do.NANT;0;4;0;5;0;3;0;4;0;5;10;0;4+6;;5;[2, 2, 2, 2, 2];2;3.0;0101 010101;0405 030405;;wS.wS.wS.wS.wS|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;4; com ha format rey tant inconvensible,;com#HA#for.MAT#rey#TANT#in.CON.ven.SI.ble;0;3;0;5;0;2;0;2;0;5;10;1;4+6;;6;[1, 1, 2, 1, 1, 5];3;3.0;0101 010101;0305 020205;;w.S.wS.w.S.wSwSw|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;5; sobrepugant tots los qui son mortals;so.BRE.pu.GANT#tots#LOS#qui#SON#mor.TALS;0;2;0;5;0;2;0;2;0;5;10;0;4+6;;6;[4, 1, 1, 1, 1, 2];1;5.0;0101 010101;0205 020205;;wSwS.w.S.w.S.wS|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;6; de seny, saber, poder e valor tanta,;de#SENY#sa.BER#po.DER#e#VA.lor#TAN.ta;0;4;0;5;0;3;0;2;1;5;10;1;4+6;;7;[1, 1, 2, 2, 1, 2, 2];3;4.0;0101 010101;0405 030215;;w.S.wS.wS.w.Sw.Sw|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;7; e de virtuts qui ditas son morals,;e#DE#vir.TUTS#qui#DI.tas#SON#mo.RALS;0;2;0;5;0;4;0;2;0;5;10;0;4+6;;7;[1, 1, 2, 1, 2, 1, 2];3;4.0;0101 010101;0205 040205;;w.S.wS.w.Sw.S.wS|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;8; que sol pensar l'enteniment m'espanta.;que#SOL#pen.SAR#l'en.TE.ni.MENT#m'es.PAN.ta;0;4;0;5;0;2;0;4;0;5;10;1;4+6;;5;[1, 1, 2, 4, 3];3;2.0;0101 010101;0405 020405;;w.S.wS.wSwS.wSw|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;9; Lo septre us veig en ma dreta portar,;lo#SEP.tre‿us#VEIG#en#ma#DRE.ta#por.TAR;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;8;[1, 2, 1, 1, 1, 1, 2, 2];3;4.0;0101 001001;0405 004005;;w.Sw.S.w.w.Sw.wS|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;10; e'n l'altre part lo pom d'or qui denota;e'n#L'AL.tre#PART#lo#pom#D'OR#qui#de.NO.ta;0;2;0;5;0;1;4;0;0;5;10;1;4+6;;8;[1, 2, 1, 1, 1, 1, 1, 3];3;5.0;0101 001001;0205 014005;;w.Sw.S.w.w.S.w.wSw|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;11; lo món, subdit a vós sens contrestar,;lo#MÓN#sub.DIT#a#VÓS#sens#CON.tres.TAR;0;4;0;5;0;4;0;2;0;5;10;0;4+6;;7;[1, 1, 2, 1, 1, 1, 3];3;4.0;0101 010101;0405 040205;;w.S.wS.w.S.w.SwS|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;12; ab rahó gran, car virtut no·s desvota;AB#ra.hó#GRAN#CAR#vir.tut#NO'S#des.VO.ta;2;0;1;5;4;0;1;4;0;5;10;1;4+6;;7;[1, 2, 1, 1, 2, 1, 3];3;4.0;1001 100101;2015 401405;;S.ww.S.S.ww.S.wSw|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;13; de vós hun punt, avent las cardinals,;de#VÓS#hun#PUNT#a.VENT#las#CAR.di.NALS;0;4;0;5;0;4;0;2;0;5;10;0;4+6;;7;[1, 1, 1, 1, 2, 1, 3];4;3.0;0101 010101;0405 040205;;w.S.w.S.wS.w.SwS|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;14; honor amant com honor amativa,;ho.NOR#a.MANT#com#ho.NOR#a.ma.TI.va;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;5;[2, 2, 1, 2, 4];2;3.0;0101 001001;0405 004005;;wS.wS.w.wS.wwSw|
Bernat Miquel;Miquel, Bernat;1350;1450;;;;Q85634818;;Poesies;;False;;1.txt;15; segons descriu esser menys prinsipals;se.GONS#des.CRIU#es.SER#menys#PRIN.si.PALS;0;4;0;5;0;3;0;2;0;5;10;0;4+6;;5;[2, 2, 2, 1, 3];2;3.0;0101 010101;0405 030205;;wS.wS.wS.w.SwS|
