autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;1;          Qui veu present lo que mai no ha vist,;qui#VEU#pre.SENT#lo#que#MAI#no#ha#VIST;0;4;0;5;0;0;4;0;1;5;10;0;4+6;;9;[1, 1, 2, 1, 1, 1, 1, 1, 1];3;6.0;0101 001001;0405 004015;;w.S.wS.w.w.S.w.w.S|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;2;"          per novell cars lo cor fa mudament;";PER#no.vell#CARS#lo#cor#FA#mu.da.MENT;2;0;1;5;0;1;4;0;0;5;10;0;4+6;;7;[1, 2, 1, 1, 1, 1, 3];3;4.0;1001 001001;2015 014005;;S.ww.S.w.w.S.wwS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;3;          e tal se ffa, del que no veu, avist,;e#TAL#se#FFA#del#QUE#no#VEU#a.VIST;0;3;0;5;0;2;1;4;0;5;10;0;4+6;;9;[1, 1, 1, 1, 1, 1, 1, 1, 2];4;5.0;0101 010101;0305 021405;;w.S.w.S.w.S.w.S.wS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;4;          que, com s’hi veu, desige ser absent.;QUE#com#s'hi#VEU#de.SI.ge#SER#ab.SENT;2;0;0;5;0;4;0;3;0;5;10;0;4+6;;7;[1, 1, 1, 1, 3, 1, 2];4;3.0;1001 010101;2005 040305;;S.w.w.S.wSw.S.wS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;5;          Aytals afers esperiment los mostra,;ay.TALS#a.FERS#es.PE.ri.MENT#los#MOS.tra;0;4;0;5;0;2;0;4;0;5;10;1;4+6;;5;[2, 2, 4, 1, 2];2;3.0;0101 010101;0405 020405;;wS.wS.wSwS.w.Sw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;6;          que diu lo ver de quant cascú ignora,;que#DIU#lo#VER#de#QUANT#cas.CÚ#ig.NO.ra;0;4;0;5;0;4;0;3;0;5;10;1;4+6;;8;[1, 1, 1, 1, 1, 1, 2, 3];4;4.0;0101 010101;0405 040305;;w.S.w.S.w.S.wS.wSw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;7;          despellegant l’estol, ffent bella mostra,;des.PE.lle.GANT#l'es.TOL#ffent#BE.lla#MOS.tra;0;2;0;5;0;2;1;4;0;5;10;1;4+6;;5;[4, 2, 1, 2, 2];1;4.0;0101 010101;0205 021405;;wSwS.wS.w.Sw.Sw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;8;          del gran soldà, per lo Canal a fora,;del#GRAN#sol.DÀ#per#LO#ca.NAL#a#FO.ra;0;4;0;5;0;2;0;4;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 2, 1, 2];3;5.0;0101 010101;0405 020405;;w.S.wS.w.S.wS.w.Sw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;9;          diluns matí, a deu d’agost comtant,;di.LUNS#ma.TÍ#a#DEU#d'a.GOST#com.TANT;0;4;0;5;0;3;0;4;0;5;10;0;4+6;;6;[2, 2, 1, 1, 2, 2];2;4.0;0101 010101;0405 030405;;wS.wS.w.S.wS.wS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;10;         mil quatre cents e mes quarante quatre,;mil#QUA.tre#CENTS#e#MES#qua.RAN.te#QUA.tre;0;3;0;5;0;2;0;4;0;5;10;1;4+6;;7;[1, 2, 1, 1, 1, 3, 2];3;4.0;0101 010101;0305 020405;;w.Sw.S.w.S.wSw.Sw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;11;         de sant Lorens la festa selebrant,;de#SANT#lo.RENS#la#FES.ta#SE.le.BRANT;0;4;0;5;0;4;0;2;0;5;10;0;4+6;;6;[1, 1, 2, 1, 2, 3];3;3.0;0101 010101;0405 040205;;w.S.wS.w.Sw.SwS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;12;         ben ordonats segint la hu a l’altre.;ben#OR.do.NATS#se.GINT#la#HU#a#L'AL.tre;0;2;0;5;0;4;0;4;0;5;10;1;4+6;;7;[1, 3, 2, 1, 1, 1, 2];2;5.0;0101 010101;0205 040405;;w.SwS.wS.w.S.w.Sw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;13;         La jent sotil, qui veu la multitut;la#JENT#so.TIL#qui#VEU#la#MUL.ti.TUT;0;4;0;5;0;4;0;2;0;5;10;0;4+6;;7;[1, 1, 2, 1, 1, 1, 3];3;4.0;0101 010101;0405 040205;;w.S.wS.w.S.w.SwS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;14;         de tantes naus, germes e galeases,;de#TAN.tes#NAUS#GER.mes#e#GA.le.A.ses;0;3;0;5;4;0;0;2;0;5;10;1;4+6;;6;[1, 2, 1, 2, 1, 4];3;3.0;0101 100101;0305 400205;;w.Sw.S.Sw.w.SwSw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;15;         qu’en nombre són, comtat, vist e sabut,;quen#NOM.bre#SÓN#com.tat#VIST#e#sa.BUT;1;4;0;5;0;1;4;0;0;5;10;0;4+6;;7;[1, 2, 1, 2, 1, 1, 2];3;4.0;0101 001001;1405 014005;;w.Sw.S.ww.S.w.wS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;16;         vuytante sinch, entre bones e lases,;vuy.TAN.te#SINCH#en.tre#BO.nes#e#LA.ses;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;6;[3, 1, 2, 2, 1, 2];2;4.0;0101 001001;0405 004005;;wSw.S.ww.Sw.w.Sw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;17;         plors, crits e plants sentí de fills e mares,;plors#CRITS#e#PLANTS#sen.TÍ#de#FILLS#e#MA.res;0;4;0;5;0;4;0;4;0;5;10;1;4+6;;9;[1, 1, 1, 1, 2, 1, 1, 1, 2];4;5.0;0101 010101;0405 040405;;w.S.w.S.wS.w.S.w.Sw|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;18;"         e molts marits dolre s’ab ses mullers;";e#MOLTS#ma.RITS#DOL.re#S'AB#ses#mu.LLERS;0;2;0;5;4;0;4;0;0;5;10;0;4+6;;7;[1, 1, 2, 2, 1, 1, 2];3;4.0;0101 101001;0205 404005;;w.S.wS.Sw.S.w.wS|
Francesc Ferrer;Ferrer, Francesc;1485;1500;;València;valencia;;14815997;Poesies;;False;;12.txt;19;         tals per sforç, mostraven bones cares,;TALS#per#es.FORÇ#mos.TRA.ven#BO.nes#CA.res;3;0;0;5;0;4;0;4;0;5;10;1;4+6;;6;[1, 1, 2, 3, 2, 2];3;3.0;1001 010101;3005 040405;;S.w.wS.wSw.Sw.Sw|
