autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;1;Altra vegada vui, oh Verge pura,;AL.tra#ve.GA.da#VUI#oh#VER.ge#PU.ra;4;0;0;4;0;5;0;4;0;5;10;1;6+4;;6;[2, 3, 1, 1, 2, 2];3;3.0;100101 0101;400405 0405;;Sw.wSw.S.w.Sw.Sw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;2;sacrifico mon cor a vostres plantes,;sa.cri.FI.co#mon#COR#a#VOS.tres#PLAN.tes;0;0;4;0;0;5;0;3;0;5;10;1;6+4;;6;[4, 1, 1, 1, 2, 2];3;3.0;001001 0101;004005 0305;;wwSw.w.S.w.Sw.Sw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;3;plantes que a la serpent rígida i fera;PLAN.tes#que‿a#LA#ser.PENT#RÍ.gi.da‿i#FE.ra;4;0;0;2;0;5;4;0;0;5;10;1;6+4;;8;[2, 1, 1, 1, 2, 3, 1, 2];4;2.0;100101 1001;400205 4005;;Sw.w.S.wS.Sww.Sw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;4;oprimeixen triumfants la boca impura.;o.pri.MEI.xen#trium.FANTS#la#BO.ca‿im#PU.ra;0;0;4;0;0;5;0;4;0;5;10;1;6+4;;5;[4, 2, 1, 2, 2];2;3.0;001001 0101;004005 0405;;wwSw.wS.w.Sw.Sw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;5;Altra vegada les memòries santes;AL.tra#ve.GA.da#LES#me.MÒ.ries#SAN.tes;4;0;0;4;0;2;0;4;0;5;10;1;Cap;['sinèresi'];5;[2, 3, 1, 3, 2];5;;1001010101;4004020405;;Sw.wSw.S.wSw.Sw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;6;he ressonat humil ab veu grossera,;HE#res.so.NAT#hu.MIL#ab#VEU#gros.SE.ra;3;0;0;5;0;4;0;4;0;5;10;1;4+6;;6;[1, 3, 2, 1, 1, 3];2;4.0;1001 010101;3005 040405;;S.wwS.wS.w.S.wSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;7;ab veu grossera sí, mes verdadera.;ab#VEU#gros.SE.ra#SÍ#mes#VER.da.DE.ra;0;4;0;4;0;5;0;2;0;5;10;1;6+4;;6;[1, 1, 3, 1, 1, 4];4;2.0;010101 0101;040405 0205;;w.S.wSw.S.w.SwSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;8;Més verdadera quan ab alegria;MÉS#ver.da.DE.ra#QUAN#ab#A.le.GRI.a;3;0;0;4;0;5;0;2;0;5;10;1;6+4;;5;[1, 4, 1, 1, 4];3;2.0;100101 0101;300405 0205;;S.wwSw.S.w.SwSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Altra vegada vui, oh verge pura.txt;9;publica la puresa de Maria.;pu.BLI.ca#LA#pu.RE.sa#DE#ma.RI.a;0;4;0;2;0;4;0;2;0;5;10;1;Cap;;5;[3, 1, 3, 1, 3];5;;0101010101;0402040205;;wSw.S.wSw.S.wSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Amorós rossinyol que, ab harmonia.txt;1;Amorós rossinyol que, ab harmonia,;a.mo.RÓS#ros.si.NYOL#que‿ab#HAR.mo.NI.a;0;0;4;0;0;5;0;2;0;5;10;1;6+4;;5;[3, 3, 1, 1, 4];2;2.0;001001 0101;004005 0205;;wwS.wwS.w.SwSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Amorós rossinyol que, ab harmonia.txt;2;celebres com augmentes l’alegria;ce.LE.bres#COM#aug.MEN.tes#L'A.le.GRI.a;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;4;[3, 1, 3, 4];2;2.0;0101 010101;0405 040205;;wSw.S.wSw.SwSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Amorós rossinyol que, ab harmonia.txt;3;quan, ab los ecos de ta dolça pena,;QUAN#ab#los#E.cos#DE#ta#DOL.ça#PE.na;3;0;0;4;0;2;0;4;0;5;10;1;Cap;;8;[1, 1, 1, 2, 1, 1, 2, 2];8;;1001010101;3004020405;;S.w.w.Sw.S.w.Sw.Sw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Amorós rossinyol que, ab harmonia.txt;4;"amorosa respon la filomena;";a.mo.RO.sa#res.PON#la#FI.lo.ME.na;0;0;4;0;0;5;0;2;0;5;10;1;6+4;;4;[4, 2, 1, 4];2;2.0;001001 0101;004005 0205;;wwSw.wS.w.SwSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Amorós rossinyol que, ab harmonia.txt;5;la filomena, amada companyia,;la#FI.lo.ME.na‿a#MA.da#COM.pa.NYI.a;0;2;0;4;0;4;0;2;0;5;10;1;Cap;;4;[1, 4, 2, 4];4;;0101010101;0204040205;;w.SwSw.Sw.SwSw|
Francesc Fontanella;Fontanella i Garraver, Francesc;1622;1681;;Barcelona;central;Q5479042;41912421;Obra completa (silves);1640;False;;Amorós rossinyol que, ab harmonia.txt;6;ton cant i tes fineses acompanya.;ton#CANT#i#TES#fi.NE.ses#A.com.PA.nya;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;6;[1, 1, 1, 1, 3, 4];4;2.0;0101 010101;0405 040205;;w.S.w.S.wSw.SwSw|
