autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;1;Si a la gran dignitat d’eixa presència,;si‿a#la#GRAN#dig.ni.TAT#D'EI.xa#pre.SÈN.ci.a;0;0;4;0;0;5;4;0;0;5;10;2;6+4;;7;[1, 1, 1, 1, 3, 2, 4];4;2.0;001001 1001;004005 400501;;w.w.S.wwS.Sw.wSww|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;2;veguer il·lustre, que la fúria estranya;ve.guer‿iŀ#LUS.tre#QUE#la#FÚ.ri.a‿es#TRA.nya;0;1;4;0;2;0;4;0;0;5;10;1;Cap;;6;[2, 2, 1, 1, 3, 2];6;;0010101001;0140204005;;ww.Sw.S.w.Sww.Sw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;3;desfàs de Caco i vences la insolència;des.FÀS#de#CA.co‿i#VEN.ces#LA‿IN.so.LÈN.ci.a;0;4;0;4;0;4;0;2;0;5;10;2;Cap;;7;[2, 1, 2, 1, 2, 1, 5];5;;0101010101;040404020501;;wS.w.Sw.Sw.SwSww|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;4;"com Hèrcules segon d’esta campanya;";com#HÈR.cu.LES#se.GON#d'es.ta#cam.PA.nya;0;4;0;2;0;5;0;0;0;5;10;1;6+4;;5;[1, 3, 2, 2, 3];3;2.0;010101 0001;040205 0005;;w.SwS.wS.ww.wSw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;5;si a eix resplendor de gran magnificència,;si‿a‿eix#RES.plen.DOR#de#GRAN#mag.NI.fi.CÈN.ci.a;0;2;0;5;0;4;0;2;0;5;10;2;4+6;['sinalefa'];7;[1, 1, 1, 3, 1, 1, 6];2;3.0;0101 010101;0205 04020501;;w.SwS.w.S.wSwSww|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;6;paers d’esta ciutat, honor d’Espanya,;pa.ers#D'ES.ta#ciu.TAT#ho.NOR#d'es.PA.nya;0;1;4;0;0;5;0;4;0;5;10;1;6+4;;5;[2, 2, 2, 2, 3];3;2.0;001001 0101;014005 0405;;ww.Sw.wS.wS.wSw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;7;fóra proporcionada ma Talia,;FÓ.ra#pro.POR.cio.NA.da#MA#ta.LIA;4;0;0;2;0;4;0;2;0;5;10;0;Cap;['sinèresi'];4;[2, 5, 1, 2];4;;1001010101;4002040205;;Sw.wSwSw.S.wS|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;8;en tan terrible angústia no em veuria.;en#TAN#ter.RI.ble‿an#GÚS.tia#NO‿EM#veu.RI.a;0;2;0;4;0;4;0;3;0;5;10;1;Cap;['sinèresi'];7;[1, 1, 3, 2, 1, 1, 3];6;;0101010101;0204040305;;w.S.wSw.Sw.S.wSw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;9;No em pren lo cor la púrpura de Tiro,;no‿em#PREN#lo#COR#la#PÚR.pu.RA#de#TI.ro;1;4;0;5;0;4;0;2;0;5;10;1;4+6;;9;[1, 1, 1, 1, 1, 1, 3, 1, 2];4;4.0;0101 010101;1405 040205;;w.S.w.S.w.SwS.w.Sw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;10;per més que als ulls sa gran finor suborna:;per#MÉS#que‿als#ULLS#sa#GRAN#fi.NOR#su.BOR.na;0;3;0;5;0;4;0;4;0;5;10;1;4+6;;9;[1, 1, 1, 1, 1, 1, 1, 2, 3];4;4.0;0101 010101;0305 040405;;w.S.w.S.w.S.wS.wSw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;11;de béns tan peremptoris no m’admiro,;de#BÉNS#tan#PE.remp.TO.ris#NO#m'ad.MI.ro;0;4;0;2;0;4;0;3;0;5;10;1;Cap;;6;[1, 1, 1, 4, 1, 3];6;;0101010101;0402040305;;w.S.w.SwSw.S.wSw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;12;que la Fortuna els porta i se’ls ne torna,;que#LA#for.TU.na‿els#POR.ta‿i#SE'LS#ne#TOR.na;0;2;0;4;0;4;0;2;0;5;10;1;Cap;;9;[1, 1, 3, 1, 2, 1, 1, 1, 2];7;;0101010101;0204040205;;w.S.wSw.Sw.S.w.Sw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;13;per lo que ab justa causa me retiro.;PER#lo#que‿ab#JUS.ta#CAU.sa#ME#re.TI.ro;2;0;0;4;0;4;0;2;0;5;10;1;Cap;;8;[1, 1, 1, 1, 2, 2, 1, 3];7;;1001010101;2004040205;;S.w.w.Sw.Sw.S.wSw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;14;És la virtut que a l’ànimo us adorna:;ÉS#la#vir.TUT#que‿a#L'À.ni.MO‿US#a.DOR.na;3;0;0;5;0;4;0;2;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 3, 1, 3];3;3.0;1001 010101;3005 040205;;S.w.wS.w.SwS.wSw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;15;ni la comprèn lo llímit ni la ralla;ni#LA#com.PRÈN#lo#LLÍ.mit#NI#la#RA.lla;0;2;0;5;0;4;0;2;0;5;10;1;4+6;;8;[1, 1, 2, 1, 2, 1, 1, 2];3;5.0;0101 010101;0205 040205;;w.S.wS.w.Sw.S.w.Sw|
Francesc Vicent Garcia;Garcia i Ferrandis, Francesc Vicent;1579;1623;;Vallfogona;gironí;Q8962226;100257561;Obra completa;1623;False;;Si a la gran dignitat.txt;16;del breu temps de la vara i la gramalla.;del#breu#TEMPS#de#la#VA.ra‿i#LA#gra.MA.lla;0;1;4;0;0;4;0;2;0;5;10;1;Cap;;9;[1, 1, 1, 1, 1, 2, 1, 1, 3];8;;0010010101;0140040205;;w.w.S.w.w.Sw.S.wSw|
