autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;1;          Bellesa gran vostre cors illumina;be.LLE.sa#GRAN#vos.tre#CORS#i.llu.MI.na;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;5;[3, 1, 2, 1, 4];2;3.0;0101 001001;0405 004005;;wSw.S.ww.S.wwSw|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;2;"          e de virtut jamés sentiu fretura;";e#DE#vir.TUT#ja.MÉS#sen.TIU#fre.TU.ra;0;2;0;5;0;4;0;4;0;5;10;1;4+6;;6;[1, 1, 2, 2, 2, 3];3;3.0;0101 010101;0205 040405;;w.S.wS.wS.wS.wSw|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;3;          amant a vós res no·m pot dar tristura,;a.MANT#a#VÓS#res#NO'M#pot#DAR#tris.TU.ra;0;4;0;5;0;4;0;4;0;5;10;1;4+6;;8;[2, 1, 1, 1, 1, 1, 1, 3];3;5.0;0101 010101;0405 040405;;wS.w.S.w.S.w.S.wSw|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;4;          ans certament tinch la pença divina.;ANS#cer.ta.MENT#TINCH#la#PEN.ça#di.VI.na;4;0;0;5;4;0;4;0;0;5;10;1;4+6;;6;[1, 3, 1, 1, 2, 3];2;4.0;1001 101001;4005 404005;;S.wwS.S.w.Sw.wSw|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;5;          Ten singular haveu quant és en vós,;TEN#sin.gu.LAR#ha.veu#QUANT#és#en#VÓS;4;0;0;5;0;1;4;0;0;5;10;0;4+6;;7;[1, 3, 2, 1, 1, 1, 1];2;5.0;1001 001001;4005 014005;;S.wwS.ww.S.w.w.S|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;6;"          rica de seny, als mes enamorau;";RI.ca#de#SENY#als#MES#en.A.mo.RAU;4;0;0;5;0;2;0;2;0;5;10;0;4+6;;6;[2, 1, 1, 1, 1, 4];3;3.0;1001 010101;4005 020205;;Sw.w.S.w.S.wSwS|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;7;          ja·m tinch per mort e vos no m’ajudau;ja'm#TINCH#per#MORT#e#vos#NO#m'a.ju.DAU;0;4;0;5;0;0;3;0;0;5;10;0;4+6;;8;[1, 1, 1, 1, 1, 1, 1, 3];4;4.0;0101 001001;0405 003005;;w.S.w.S.w.w.S.wwS|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;8;          vullau hoir bonament mes clamors.;vu.LLAU#ho.IR#bo.na.MENT#mes#cla.MORS;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;5;[2, 2, 3, 1, 2];2;3.0;0101 001001;0405 004005;;wS.wS.wwS.w.wS|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;9;          Digna de molt, mon trist cor, luny de vós,;DIG.na#de#MOLT#mon#TRIST#cor#LUNY#de#VÓS;4;0;0;5;0;2;1;4;0;5;10;0;4+6;;9;[2, 1, 1, 1, 1, 1, 1, 1, 1];3;6.0;1001 010101;4005 021405;;Sw.w.S.w.S.w.S.w.S|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;10;         està’n perill si molt prest no cuytau;es.TÀ'N#pe.RILL#si#molt#PREST#no#cuy.TAU;0;3;0;5;0;0;4;0;0;5;10;0;4+6;;7;[2, 2, 1, 1, 1, 1, 2];2;5.0;0101 001001;0305 004005;;wS.wS.w.w.S.w.wS|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;11;         en dir-me clar si mon servir vos plau;en#DIR#me#CLAR#si#MON#ser.VIR#vos#PLAU;0;4;0;5;0;2;0;4;0;5;10;0;4+6;;9;[1, 1, 1, 1, 1, 1, 2, 1, 1];4;5.0;0101 010101;0405 020405;;w.S.w.S.w.S.wS.w.S|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;1.txt;12;         no consentau fer-me viure nugós.;NO#con.sen.TAU#FER#me#VIU.re#nu.GÓS;3;0;0;5;4;0;4;0;0;5;10;0;4+6;;6;[1, 3, 1, 1, 2, 2];2;4.0;1001 101001;3005 404005;;S.wwS.S.w.Sw.wS|
Francí Guerau;Guerau, Francí­;1450;;;;;Q85833116;;Poesies;;False;;2.txt;1;          Cert, com no us veig, senyora de mon cor,;CERT#com#no‿us#VEIG#se.NYO.ra#DE#mon#COR;4;0;1;5;0;4;0;2;0;5;10;0;4+6;;9;[1, 1, 1, 1, 1, 3, 1, 1, 1];4;4.0;1001 010101;4015 040205;;S.w.w.S.wSw.S.w.S|
