autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;1;Qu’yeu me cuydey que no·m pogués rependre;QU'YEU#me#cuy.DEY#que#NO'M#po.GUÉS#re.PEN.dre;4;1;0;5;0;4;0;3;0;5;10;1;4+6;;7;[1, 1, 2, 1, 1, 2, 3];3;4.0;1001 010101;4105 040305;;S.w.wS.w.S.wS.wSw|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;2;         Amor jamay en son noble capdulh,;a.MOR#ja.MAY#en#son#NO.ble#cap.DULH;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;6;[2, 2, 1, 1, 2, 2];2;4.0;0101 001001;0405 004005;;wS.wS.w.w.Sw.wS|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;3;"         ladonchs me vench trastot mon sforç rendre;";la.DONCHS#me#VENCH#tras.tot#MON#es.forç#REN.dre;0;4;0;5;0;0;2;0;1;5;10;1;4+6;;7;[2, 1, 1, 2, 1, 2, 2];3;4.0;0101 001001;0405 002015;;wS.w.S.ww.S.ww.Sw|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;4;         que ja nulh geny, sauber ne maestria;que#JA#nulh#GENY#sau.BER#ne#MA.es.TRI.a;0;3;0;5;0;4;0;2;0;5;10;1;4+6;;7;[1, 1, 1, 1, 2, 1, 4];4;3.0;0101 010101;0305 040205;;w.S.w.S.wS.w.SwSw|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;5;         a contrestar no·m pogren res valer,;a#CON.tres.TAR#no'm#PO.gren#RES#va.LER;0;2;0;5;0;4;0;4;0;5;10;0;4+6;;6;[1, 3, 1, 2, 1, 2];2;4.0;0101 010101;0205 040405;;w.SwS.w.Sw.S.wS|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;6;         qu’aysí le·m fech Amors gent aparer,;quay.SÍ#le'm#FECH#a.mors#GENT#a.pa.RER;0;4;0;5;0;1;4;0;0;5;10;0;4+6;;6;[2, 1, 1, 2, 1, 3];3;3.0;0101 001001;0405 014005;;wS.w.S.ww.S.wwS|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;7;         que sobtamén fuy mis dins sa baylia.;que#SOB.ta.MÉN#fuy#MIS#dins#SA#bay.LI.a;0;2;0;5;0;4;0;2;0;5;10;1;4+6;;7;[1, 3, 1, 1, 1, 1, 3];2;5.0;0101 010101;0205 040205;;w.SwS.w.S.w.S.wSw|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;8;         Dona ses par, pus Amor vol que sia;DO.na#ses#PAR#PUS#a.mor#VOL#que#SI.a;4;0;1;5;4;0;1;4;0;5;10;1;4+6;;8;[2, 1, 1, 1, 2, 1, 1, 2];3;5.0;1001 100101;4015 401405;;Sw.w.S.S.ww.S.w.Sw|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;9;         que us don mon cor, mon seny e mon sauber,;que‿us#DON#mon#COR#mon#SENY#e#MON#sau.BER;0;4;0;5;0;4;0;2;0;5;10;0;4+6;;10;[1, 1, 1, 1, 1, 1, 1, 1, 1, 2];4;5.0;0101 010101;0405 040205;;w.S.w.S.w.S.w.S.wS|
Gilabert de Próixita;de, Gilabert;1370;1405;;València;valencia;Q1773396;35980854;Poemes rao139;1400;False;;1.txt;10;         clam vos mercè que·m vullatz retener,;CLAM#vos#mer.CÈ#que'm#vu.LLATZ#re.te.NER;4;1;0;5;0;0;4;0;0;5;10;0;4+6;;6;[1, 1, 2, 1, 2, 3];3;3.0;1001 001001;4105 004005;;S.w.wS.w.wS.wwS|
