autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;1;          Dos son los alts, segons lo meu parer,;DOS#son#los#ALTS#se.GONS#lo#MEU#pa.RER;3;1;0;5;0;4;0;2;0;5;10;0;4+6;;8;[1, 1, 1, 1, 2, 1, 1, 2];4;4.0;1001 010101;3105 040205;;S.w.w.S.wS.w.S.wS|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;2;          ab què amor fa sa perfeta obra,;ab#QUÈ#a.MOR#fa#SA#per.FE.ta#O.bra;0;3;0;5;0;2;0;4;0;5;10;1;4+6;;7;[1, 1, 2, 1, 1, 3, 2];3;4.0;0101 010101;0305 020405;;w.S.wS.w.S.wSw.Sw|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;3;          e de l’hun sols algun porà esser;e#DE#l'hun#SOLS#al.GUN#po.RÀ#es.SER;0;2;1;5;0;2;0;4;0;5;10;0;4+6;;7;[1, 1, 1, 1, 2, 2, 2];4;3.0;0101 010101;0215 020405;;w.S.w.S.wS.wS.wS|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;4;          un poch temps pres, mas sa libertat cobra,;un#POCH#temps#PRES#mas#sa#LI.ber.tat#CO.bra;1;4;0;5;0;0;2;0;1;5;10;1;4+6;;8;[1, 1, 1, 1, 1, 1, 3, 2];4;4.0;0101 001001;1405 002015;;w.S.w.S.w.w.Sww.Sw|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;5;          que no stà’n pus lo durar d’un cars tal;que#NO‿ES.tà'n#PUS#lo#du.RAR#d'un#cars#TAL;0;3;0;5;0;0;4;0;1;5;10;0;4+6;;9;[1, 1, 2, 1, 1, 2, 1, 1, 1];3;5.0;0101 001001;0305 004015;;w.Sw.S.w.wS.w.w.S|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;6;          sinó en tant com se tarda·l partir,;si.NÓ#en#TANT#com#se#TAR.da'l#par.TIR;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;7;[2, 1, 1, 1, 1, 2, 2];3;4.0;0101 001001;0405 004005;;wS.w.S.w.w.Sw.wS|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;7;          si stà bé l’als d’on l’altr’ alt deu venir,;si‿es.TÀ#bé#L'ALS#d'on#l'altr#ALT#deu#ve.NIR;0;3;0;5;0;1;4;0;0;5;10;0;4+6;;9;[1, 2, 1, 1, 1, 1, 1, 1, 2];3;5.0;0101 001001;0305 014005;;wS.w.S.w.w.S.w.wS|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;8;          sens lo qual res no y ha perfet ni val.;SENS#lo#qual#RES#no#Y‿HA#per.FET#ni#VAL;3;0;0;5;0;3;0;4;0;5;10;0;4+6;;10;[1, 1, 1, 1, 1, 1, 1, 2, 1, 1];4;5.0;1001 010101;3005 030405;;S.w.w.S.w.S.wS.w.S|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;9;          Si y son abduy, vos dich qu’es cas mortal;si‿y#SON#ab.DUY#vos#DICH#ques#CAS#mor.TAL;0;2;0;5;0;4;0;4;0;5;10;0;4+6;;9;[1, 1, 1, 2, 1, 1, 1, 1, 2];3;5.0;0101 010101;0205 040405;;w.S.wS.w.S.w.S.wS|
Jaume March;March, Jaume;1333;1410;;València;valencia;Q4891384;3276550;Poesies;;False;;3.txt;10;         e tal que ans vos poríeu morir;e#TAL#que#ANS#vos#po.RÍ.eu#mo.RIR;0;3;0;5;0;0;4;0;0;5;10;0;4+6;;7;[1, 1, 1, 1, 1, 3, 2];4;3.0;0101 001001;0305 004005;;w.S.w.S.w.wSw.wS|
