autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;1; Ab gemechs grans, plors e sospirs mortals;AB#ge.mechs#GRANS#plors#E#sos.PIRS#mor.TALS;2;0;1;5;0;2;0;4;0;5;10;0;4+6;;7;[1, 2, 1, 1, 1, 2, 2];3;4.0;1001 010101;2015 020405;;S.ww.S.w.S.wS.wS|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;2; sentí les jents dolre·s per les carreres,;sen.TÍ#les#JENTS#DOL.re's#per#LES#car.RE.res;0;4;0;5;4;0;0;2;0;5;10;1;4+6;;7;[2, 1, 1, 2, 1, 1, 3];3;4.0;0101 100101;0405 400205;;wS.w.S.Sw.w.S.wSw|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;3; plases, cantons, en diverces maneres,;PLA.ses#can.TONS#en#di.VER.ces#ma.NE.res;4;0;0;5;0;0;4;0;0;5;10;1;4+6;;5;[2, 2, 1, 3, 3];2;3.0;1001 001001;4005 004005;;Sw.wS.w.wSw.wSw|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;4;" los uylls prostats, estan com bestials;";los#UYLLS#pros.TATS#es.TAN#com#BES.ti.ALS;0;4;0;5;0;3;0;2;0;5;10;0;4+6;;6;[1, 1, 2, 2, 1, 3];3;3.0;0101 010101;0405 030205;;w.S.wS.wS.w.SwS|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;5;" lagremejant e batent se los pits;";la.GRE.me.JANT#e#ba.TENT#se#los#PITS;0;2;0;5;0;0;4;0;0;5;10;0;4+6;;6;[4, 1, 2, 1, 1, 1];1;5.0;0101 001001;0205 004005;;wSwS.w.wS.w.w.S|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;6; los infants pochs criden a cruels crits;LOS#in.fants#POCHS#CRI.den#A#cru.els#CRITS;2;0;1;5;4;0;2;0;1;5;10;0;4+6;;7;[1, 2, 1, 2, 1, 2, 1];3;4.0;1001 101001;2015 402015;;S.ww.S.Sw.S.ww.S|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;7; vaent star lurs mares alterades.;va.ENT#es.TAR#lurs#MA.res#AL.te.RA.des;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;5;[2, 2, 1, 2, 4];2;3.0;0101 010101;0405 040205;;wS.wS.w.Sw.SwSw|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;8; Acte semblant no crech may sie lest,;AC.te#sem.BLANT#no#CRECH#may#SI.e#LEST;4;0;0;5;0;2;1;4;0;5;10;0;4+6;;7;[2, 2, 1, 1, 1, 2, 1];2;5.0;1001 010101;4005 021405;;Sw.wS.w.S.w.Sw.S|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;9; car de lurs huylls diluvi gran despara;CAR#de#lurs#HUYLLS#di.LU.vi#GRAN#des.PA.ra;4;0;1;5;0;4;0;4;0;5;10;1;4+6;;7;[1, 1, 1, 1, 3, 1, 3];4;3.0;1001 010101;4015 040405;;S.w.w.S.wSw.S.wSw|
Joan Fogassot;Fogassot, Joan;1450;1450;;Barcelona;central;Q17558113;304409982;Poesies;;False;;1.txt;10; Creix ma dolor per tal cabteniment;CREIX#ma#do.LOR#per#TAL#cab.TE.ni.MENT;4;1;0;5;0;3;0;2;0;5;10;0;4+6;;6;[1, 1, 2, 1, 1, 4];3;3.0;1001 010101;4105 030205;;S.w.wS.w.S.wSwS|
