autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;1; Cascun vell pot fer la festa solempne ;cas.CUN#vell#POT#FER#la#FES.ta#so.LEMP.ne;0;2;1;5;4;0;4;0;0;5;10;1;4+6;;7;[2, 1, 1, 1, 1, 2, 3];3;4.0;0101 101001;0215 404005;;wS.w.S.S.w.Sw.wSw|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;2; del que confessau en cobla final, ;del#que#CON.fes.SAU#en#CO.bla#fi.NAL;0;0;2;0;5;0;4;0;0;5;10;0;5+5;;6;[1, 1, 3, 1, 2, 2];3;3.0;00101 01001;00205 04005;;w.w.SwS.w.Sw.wS|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;3;" puix de quant dieu és lo que mes val;";puix#de#QUANT#di.eu#ÉS#lo#QUE#mes#VAL;0;0;2;0;1;5;0;2;0;5;10;0;6+4;;9;[1, 1, 1, 2, 1, 1, 1, 1, 1];5;4.0;001001 0101;002015 0205;;w.w.S.ww.S.w.S.w.S|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;4; no·m cal requirir que jutge us condempne. ;no'm#CAL#re.qui.RIR#que#JUT.ge‿us#con.DEMP.ne;0;4;0;0;5;0;4;0;0;5;10;1;5+5;;7;[1, 1, 3, 1, 2, 1, 3];3;3.0;01001 01001;04005 04005;True;w.S.wwS.w.Sw.wSw|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;5; Si·l cors sensual, mirant via torta, ;si'l#CORS#sen.su.AL#mi.rant#VI.a#TOR.ta;0;4;0;0;5;0;1;4;0;5;10;1;5+5;;6;[1, 1, 3, 2, 2, 2];3;3.0;01001 00101;04005 01405;;w.S.wwS.ww.Sw.Sw|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;6; la que us dona vida y may serà morta ;la#que‿us#DO.na#VI.da‿y#MAY#se.rà#MOR.ta;0;0;4;0;4;0;4;0;1;5;10;1;Cap;;9;[1, 1, 1, 2, 2, 1, 1, 2, 2];7;;0010101001;0040404015;;w.w.Sw.Sw.S.ww.Sw|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;7; vos diu ma rahó, firmada en virtuts.;vos#DIU#ma#ra.HÓ#fir.MA.da‿en#vir.TUTS;0;4;0;0;5;0;4;0;0;5;10;0;5+5;;7;[1, 1, 1, 2, 3, 1, 2];4;2.0;01001 01001;04005 04005;;w.S.w.wS.wSw.wS|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;8; que ab ses potències a Déu és semblant: ;que‿ab#SES#po.TÈN.cies#a#DÉU#és#sem.BLANT;0;2;0;4;0;0;4;0;0;5;10;0;Cap;['sinèresi'];8;[1, 1, 1, 3, 1, 1, 1, 2];7;;0101001001;0204004005;;w.S.wSw.w.S.w.wS|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;9; la sua rahó està contrastant ;la#SU.a#ra.HÓ#es.TÀ#con.tras.TANT;0;3;0;0;5;0;3;0;0;5;10;0;5+5;;5;[1, 2, 2, 2, 3];3;2.0;01001 01001;03005 03005;;w.Sw.wS.wS.wwS|
Joan Moreno;Moreno, Joan;1450;1500;;Regne de València;;Q17558084;;Poesies;;False;;2.txt;10; als forts apetits, moguts fora mida. ;als#FORTS#a.pe.TITS#mo.GUTS#fo.ra#MI.da;0;4;0;0;5;0;4;0;0;5;10;1;5+5;;6;[1, 1, 3, 2, 2, 2];3;3.0;01001 01001;04005 04005;True;w.S.wwS.wS.ww.Sw|
