autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;1;          Ab los peus verds, los ulls e celles negres,;ab#LOS#peus#VERDS#los#ULLS#e#CE.lles#NE.gres;0;2;1;5;0;4;0;4;0;5;10;1;4+6;;9;[1, 1, 1, 1, 1, 1, 1, 2, 2];4;5.0;0101 010101;0215 040405;;w.S.w.S.w.S.w.Sw.Sw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;2;          pennatge blanc, he vista una garsa,;pen.NAT.ge#BLANC#he#VIS.ta#U.na#GAR.sa;0;4;0;5;0;4;0;3;0;5;10;1;4+6;;6;[3, 1, 1, 2, 2, 2];2;4.0;0101 010101;0405 040305;;wSw.S.w.Sw.Sw.Sw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;3;          sola, sens par, de les altres esparsa,;SO.la#sens#PAR#de#les#AL.tres#es.PAR.sa;4;0;1;5;0;0;4;0;0;5;10;1;4+6;;7;[2, 1, 1, 1, 1, 2, 3];3;4.0;1001 001001;4015 004005;;Sw.w.S.w.w.Sw.wSw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;4;"          que del mirar mos ulls resten alegres;";que#DEL#mi.RAR#mos#ulls#RES.ten#a.LE.gres;0;2;0;5;0;1;4;0;0;5;10;1;4+6;;7;[1, 1, 2, 1, 1, 2, 3];3;4.0;0101 001001;0205 014005;;w.S.wS.w.w.Sw.wSw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;5;          i, al seu costat, estava una esmerla,;i‿al#SEU#cos.TAT#es.TA.va#U.na‿es#MER.la;0;2;0;5;0;3;0;3;0;5;10;1;4+6;;7;[1, 1, 1, 2, 3, 2, 2];3;3.0;0101 010101;0205 030305;;w.S.wS.wSw.Sw.Sw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;6;          ab un tal gest, les plomes i lo llustre,;ab#UN#tal#GEST#les#PLO.mes#I#lo#LLUS.tre;0;3;0;5;0;4;0;2;0;5;10;1;4+6;;9;[1, 1, 1, 1, 1, 2, 1, 1, 2];4;5.0;0101 010101;0305 040205;;w.S.w.S.w.Sw.S.w.Sw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;7;          que no és al món poeta tan illustre,;que#NO‿ÉS#al#MÓN#po.E.ta#TAN#i.LLUS.tre;0;3;0;5;0;4;0;2;0;5;10;1;4+6;;8;[1, 1, 1, 1, 1, 3, 1, 3];4;3.0;0101 010101;0305 040205;;w.S.w.S.wSw.S.wSw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;8;"          que pogués dir les llaors de tal perla;";QUE#po.gués#DIR#les#lla.ORS#de#tal#PER.la;2;0;1;5;0;0;4;0;1;5;10;1;4+6;;8;[1, 2, 1, 1, 2, 1, 1, 2];3;5.0;1001 001001;2015 004015;;S.ww.S.w.wS.w.w.Sw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;9;          i, ab dolça veu, per art ben acordada,;i‿ab#DOL.ça#VEU#per#ART#ben#A.cor.DA.da;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 1, 1, 4];3;4.0;0101 010101;0405 040205;;w.Sw.S.w.S.w.SwSw|
Joan Roís de Corella;Roís de Corella, Joan;1435;1497;;València;valencia;Q3089836;36941208;rao154.x;1450;False;;1.txt;10;         cant e tenor, cantaven tal balada:;CANT#e#te.NOR#can.TA.ven#TAL#ba.LA.da;4;0;0;5;0;4;0;3;0;5;10;1;4+6;;6;[1, 1, 2, 3, 1, 3];3;3.0;1001 010101;4005 040305;;S.w.wS.wSw.S.wSw|
