autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;1;          Axí com són sus l’espera los signes;a.XÍ#com#SÓN#SUS#l'es.PE.ra#los#SIG.nes;0;3;0;5;4;0;4;0;0;5;10;1;4+6;;7;[2, 1, 1, 1, 3, 1, 2];3;4.0;0101 101001;0305 404005;;wS.w.S.S.wSw.w.Sw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;2;          per instruhir los scientals estròlechs,;per#INS.tru.IR#los#ES.cien.TALS#es.TRÒ.lechs;0;2;0;5;0;2;0;4;0;5;10;1;4+6;['sinèresi'];5;[1, 3, 1, 3, 3];2;3.0;0101 010101;0205 020405;;w.SwS.w.SwS.wSw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;3;          són en midons totes virtuts insignes;SÓN#en#mi.DONS#to.TES#vir.TUTS#in.SIG.nes;3;0;0;5;0;2;0;4;0;5;10;1;4+6;;6;[1, 1, 2, 2, 2, 3];3;3.0;1001 010101;3005 020405;;S.w.wS.wS.wS.wSw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;4;"          que divissar pusquen alguns teòlechs;";que#DI.vis.SAR#PUS.quen#al.GUNS#te.Ò.lechs;0;2;0;5;4;0;0;2;0;5;10;1;4+6;;5;[1, 3, 2, 2, 3];2;3.0;0101 100101;0205 400205;;w.SwS.Sw.wS.wSw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;5;          les quals hi mes Dieu, qui n’ha fayt retaules;les#quals#HI#mes#DIEU#qui#n'ha#FAYT#re.TAU.les;0;0;2;0;4;0;1;4;0;5;10;1;Cap;['sinèresi'];9;[1, 1, 1, 1, 1, 1, 1, 1, 3];9;;0010100101;0020401405;;w.w.S.w.S.w.w.S.wSw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;6;          perquè cascús, miran sa bella talla,;per.QUÈ#cas.CÚS#mi.RAN#sa#BE.lla#TA.lla;0;4;0;5;0;4;0;4;0;5;10;1;4+6;;6;[2, 2, 2, 1, 2, 2];2;4.0;0101 010101;0405 040405;;wS.wS.wS.w.Sw.Sw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;7;          veja d’onor cap, pes, mans ez espaules;VE.ja#d'o.NOR#cap#PES#mans#EZ#es.PAU.les;4;0;0;5;0;2;1;4;0;5;10;1;4+6;;7;[2, 2, 1, 1, 1, 1, 3];2;5.0;1001 010101;4005 021405;;Sw.wS.w.S.w.S.wSw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;8;          e que pensan en leys jamés no falla.;e#QUE#pen.SAN#en#LEYS#ja.MÉS#no#FA.lla;0;2;0;5;0;4;0;4;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 2, 1, 2];3;5.0;0101 010101;0205 040405;;w.S.wS.w.S.wS.w.Sw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;9;         Dieu per guardar de ffallir lo seu pobles,;DIEU#per#guar.DAR#de#ffa.LLIR#lo#seu#PO.bles;4;0;0;5;0;0;4;0;0;5;10;1;4+6;['sinèresi'];8;[1, 1, 2, 1, 2, 1, 1, 2];3;5.0;1001 001001;4005 004005;;S.w.wS.w.wS.w.w.Sw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;10;         nos ha tramés, sens monsongues ne faules,;nos#HA#tra.MÉS#sens#mon.SON.gues#ne#FAU.les;0;3;0;5;0;0;4;0;0;5;10;1;4+6;;7;[1, 1, 2, 1, 3, 1, 2];3;4.0;0101 001001;0305 004005;;w.S.wS.w.wSw.w.Sw|
Jordi de Sant Jordi;de Sant Jordi, Jordi;1400;1424;;València;valencia;Q284154;32200137;rao164.x;1460;False;;1.txt;11;"         per nostre bé, desay, lo sieus cors nobles;";per#NOS.tre#BÉ#de.SAY#lo#SIEUS#cors#NO.bles;0;3;0;5;0;4;0;4;0;5;10;1;4+6;['sinèresi'];8;[1, 2, 1, 2, 1, 1, 1, 2];3;5.0;0101 010101;0305 040405;;w.Sw.S.wS.w.S.w.Sw|
