autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;1;        Tots grans senyors qui bé vol avenir;tots#GRANS#se.NYORS#qui#bé#VOL#a.ve.NIR;0;4;0;5;0;1;4;0;0;5;10;0;4+6;;7;[1, 1, 2, 1, 1, 1, 3];3;4.0;0101 001001;0405 014005;;w.S.wS.w.w.S.wwS|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;2;          en far sos faytz los pessatz deu membrar,;en#FAR#sos#FAYTZ#los#pes.SATZ#deu#mem.BRAR;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;8;[1, 1, 1, 1, 1, 2, 1, 2];4;4.0;0101 001001;0405 004005;;w.S.w.S.w.wS.w.wS|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;3;          e los presents ab cosselh dispenssar,;e#LOS#pre.SENTS#ab#cos.SELH#dis.pens.SAR;0;2;0;5;0;0;4;0;0;5;10;0;4+6;;6;[1, 1, 2, 1, 2, 3];3;3.0;0101 001001;0205 004005;;w.S.wS.w.wS.wwS|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;4;"          e ser previst als qui han a venir;";e#SER#pre.VIST#als#qui#HAN#a#ve.NIR;0;3;0;5;0;0;3;0;0;5;10;0;4+6;;8;[1, 1, 2, 1, 1, 1, 1, 2];3;5.0;0101 001001;0305 003005;;w.S.wS.w.w.S.w.wS|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;5;          e ço que pot spetxar en un dia;e#ÇO#que#POT#es.pet.XAR#en#un#DI.a;0;2;0;5;0;0;4;0;1;5;10;1;4+6;;8;[1, 1, 1, 1, 3, 1, 1, 2];4;4.0;0101 001001;0205 004015;;w.S.w.S.wwS.w.w.Sw|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;6;          no u tarde pus, qu’en pauch d’ores desvia;no‿u#TAR.de#PUS#quen#pauch#D'O.res#des.VI.a;1;4;0;5;0;1;4;0;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 1, 2, 3];3;4.0;0101 001001;1405 014005;;w.Sw.S.w.w.Sw.wSw|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;7;          lo temps e·ls faytz e·ll cor d’om exament:;lo#TEMPS#e'ls#FAYTZ#e'll#cor#D'OM#ex.a.MENT;0;4;0;5;0;1;4;0;0;5;10;0;4+6;;8;[1, 1, 1, 1, 1, 1, 1, 3];4;4.0;0101 001001;0405 014005;;w.S.w.S.w.w.S.wwS|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;8;          e·l fayt és cert e·l feray és nient.;e'l#FAYT#és#CERT#e'l#fe.RAY#és#ni.ENT;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;8;[1, 1, 1, 1, 1, 2, 1, 2];4;4.0;0101 001001;0405 004005;;w.S.w.S.w.wS.w.wS|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;9;          Enquer deu fort a senyor sovenir;en.QUER#deu#FORT#a#se.NYOR#so.ve.NIR;0;4;0;5;0;0;4;0;0;5;10;0;4+6;;6;[2, 1, 1, 1, 2, 3];3;3.0;0101 001001;0405 004005;;wS.w.S.w.wS.wwS|
Pere March;March, Pere;1338;1413;;València;valencia;Q2917912;37724351;Poemes rao96;1400;False;;11.txt;10;         de qui l’ha fayt, e·l poch esmende far,;de#QUI#l'ha#FAYT#e'l#POCH#es.MEN.de#FAR;0;2;1;5;0;4;0;4;0;5;10;0;4+6;;8;[1, 1, 1, 1, 1, 1, 3, 1];4;4.0;0101 010101;0215 040405;;w.S.w.S.w.S.wSw.S|
