autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;1; Ensemps ab dir la pena que us tormenta;en.SEMPS#ab#DIR#la#PE.na#QUE‿US#tor.MEN.ta;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;8;[2, 1, 1, 1, 2, 1, 1, 3];3;4.0;0101 010101;0405 040205;;wS.w.S.w.Sw.S.wSw|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;2;en fet d'amor que'ns torba l'esperit;en#FET#d'a.MOR#que'ns#TOR.ba#L'ES.pe.RIT;0;4;0;5;0;4;0;2;0;5;10;0;4+6;;6;[1, 1, 2, 1, 2, 3];3;3.0;0101 010101;0405 040205;;w.S.wS.w.Sw.SwS|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;3;en semblant cas diré com es sentit;EN#sem.blant#CAS#di.RÉ#com#ES#sen.TIT;2;0;1;5;0;4;0;2;0;5;10;0;4+6;;7;[1, 2, 1, 2, 1, 1, 2];3;4.0;1001 010101;2015 040205;;S.ww.S.wS.w.S.wS|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;4;De part del cors quant dins si l'aposenta:;de#PART#del#CORS#QUANT#dins#si#L'A.po.SEN.ta;0;4;0;5;4;0;0;2;0;5;10;1;4+6;;8;[1, 1, 1, 1, 1, 1, 1, 4];4;4.0;0101 100101;0405 400205;;w.S.w.S.S.w.w.SwSw|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;5;   los tres poders que l'esperit procura;los#TRES#po.DERS#que#L'ES.pe.RIT#pro.CU.ra;0;3;0;5;0;2;0;4;0;5;10;1;4+6;;6;[1, 1, 2, 1, 3, 3];3;3.0;0101 010101;0305 020405;;w.S.wS.w.SwS.wSw|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;6;enteniment, memòria y voluntat,;en.TE.ni.MENT#me.MÒ.riay#VO.lun.TAT;0;2;0;5;0;4;0;2;0;5;10;0;4+6;['sinèresi'];4;[4, 3, 1, 3];1;2.0;0101 010101;0205 040205;;wSwS.wSw.SwS|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;7;guien aquell ab tanta potestat;GUI.en#a.QUELL#ab#TAN.ta#PO.tes.TAT;4;0;0;5;0;3;0;2;0;5;10;0;4+6;;5;[2, 2, 1, 2, 3];2;3.0;1001 010101;4005 030205;;Sw.wS.w.Sw.SwS|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;8;qu'en llur parer tot son poder atura.;QUEN#llur#pa.RER#tot#SON#po.DER#a.TU.ra;3;1;0;5;0;2;0;3;0;5;10;1;4+6;;7;[1, 1, 2, 1, 1, 2, 3];3;4.0;1001 010101;3105 020305;;S.w.wS.w.S.wS.wSw|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;9;veure y oyr, olor, y el gust juntat,;VEU.re‿y#o.YR#o.LOR#y‿el#GUST#jun.TAT;4;0;0;5;0;4;0;4;0;5;10;0;4+6;;8;[2, 1, 2, 2, 1, 1, 1, 2];2;4.0;1001 010101;4005 040405;;Sw.wS.wS.w.S.wS|
Pere Serafí;Serafí, Pere;1510;1567;;Barcelona;central;Q9058396;6037410;Obra de amors;1840;False;;1.txt;10;tambe lo toc, son ésser es posat;TAM.be#lo#TOC#son#ÉS.ser#ES#po.SAT;4;0;0;5;0;3;0;2;0;5;10;0;4+6;;7;[2, 1, 1, 1, 2, 1, 2];3;4.0;1001 010101;4005 030205;;Sw.w.S.w.Sw.S.wS|
