autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;1;Enamorats, los qui per ben amar;en.A.mo.RATS#los#QUI#per#BEN#a.MAR;0;2;0;5;0;2;0;2;0;5;10;0;4+6;;6;[4, 1, 1, 1, 1, 2];1;5.0;0101 010101;0205 020205;;wSwS.w.S.w.S.wS|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;2;a mon voler teniu fel companyia,;a#MON#vo.LER#te.niu#FEL#com.pa.NYI.a;0;2;0;5;0;1;4;0;0;5;10;1;4+6;;6;[1, 1, 2, 2, 1, 4];3;3.0;0101 001001;0205 014005;;w.S.wS.ww.S.wwSw|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;3;plorau amb mi lo dan que us vull mostrar;plo.RAU#amb#MI#lo#DAN#que‿us#VULL#mos.TRAR;0;4;0;5;0;4;0;4;0;5;10;0;4+6;;9;[2, 1, 1, 1, 1, 1, 1, 1, 2];3;5.0;0101 010101;0405 040405;;wS.w.S.w.S.w.S.wS|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;4;de nós tots morts e dels mals alagria.;de#NÓS#tots#MORTS#e#dels#MALS#a.la.GRI.a;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;8;[1, 1, 1, 1, 1, 1, 1, 4];4;4.0;0101 001001;0405 004005;;w.S.w.S.w.w.S.wwSw|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;5;Nostre bon dret és ja perjudicat;NOS.tre#bon#DRET#és#JA#per.JU.di.CAT;3;0;1;5;0;3;0;2;0;5;10;0;4+6;;6;[2, 1, 1, 1, 1, 4];3;3.0;1001 010101;3015 030205;;Sw.w.S.w.S.wSwS|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;6;que contraffà l’emprent de nostre cor,;que#CON.traf.FÀ#l'em.PRENT#de#NOS.tre#COR;0;2;0;5;0;4;0;3;0;5;10;0;4+6;;6;[1, 3, 2, 1, 2, 1];2;4.0;0101 010101;0205 040305;;w.SwS.wS.w.Sw.S|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;7;tan abtament prenent mortal espassa,;tan#AB.ta.MENT#pre.NENT#mor.TAL#es.PAS.sa;0;2;0;5;0;4;0;4;0;5;10;1;4+6;;5;[1, 3, 2, 2, 3];2;3.0;0101 010101;0205 040405;;w.SwS.wS.wS.wSw|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;8;que·l bo per mal e lo mal per bo passa.;que'l#BO#per#MAL#e#lo#MAL#per#bo#PAS.sa;0;4;0;5;0;0;4;0;1;5;10;1;4+6;;10;[1, 1, 1, 1, 1, 1, 1, 1, 1, 2];4;6.0;0101 001001;0405 004015;;w.S.w.S.w.w.S.w.w.Sw|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;9;E semblant cars per lo món pubblicat;E#sem.blant#CARS#per#lo#MÓN#pub.bli.CAT;2;0;1;5;0;0;4;0;0;5;10;0;4+6;;7;[1, 2, 1, 1, 1, 1, 3];3;4.0;1001 001001;2015 004005;;S.ww.S.w.w.S.wwS|
Pere Torroella;Torroella, Pere;1420;1492;;la Bisbal d'Empordà ;central;Q11698910;77049139;Pere Torroella Poemes;1450;False;;11.txt;10;és tant comú a donas e donzelles;ÉS#tant#co.MÚ#a#DO.nas#E#don.ZE.lles;3;1;0;5;0;4;0;2;0;5;10;1;4+6;;7;[1, 1, 2, 1, 2, 1, 3];3;4.0;1001 010101;3105 040205;;S.w.wS.w.Sw.S.wSw|
