autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;1;        Aquell sol clar de replandor eterna;a.QUELL#sol#CLAR#de#RE.plan.DOR#e.TER.na;0;3;0;5;0;2;0;4;0;5;10;1;4+6;;6;[2, 1, 1, 1, 3, 3];3;3.0;0101 010101;0305 020405;;wS.w.S.w.SwS.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;2;          que del món fosch les tenebres bandeja,;que#DEL#món#FOSCH#les#te.NE.bres#ban.DE.ja;0;2;1;5;0;0;4;0;0;5;10;1;4+6;;7;[1, 1, 1, 1, 1, 3, 3];4;3.0;0101 001001;0215 004005;;w.S.w.S.w.wSw.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;3;          Cristòfol sant, vostra fosqua lanterna;cris.TÒ.fol#SANT#vos.tra#FOS.qua#lan.TER.na;0;4;0;5;0;0;4;0;0;5;10;1;4+6;;5;[3, 1, 2, 2, 3];2;3.0;0101 001001;0405 004005;;wSw.S.ww.Sw.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;4;          feu clarejar dins la scura caverna;FEU#cla.re.JAR#dins#la‿es.CU.ra#ca.VER.na;4;0;0;5;0;0;4;0;0;5;10;1;4+6;;6;[1, 3, 1, 1, 3, 3];2;3.0;1001 001001;4005 004005;;S.wwS.w.wSw.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;5;          dels cechs pagans, perquè del món se veja;dels#CECHS#pa.GANS#per.QUÈ#del#MÓN#se#VE.ja;0;4;0;5;0;4;0;4;0;5;10;1;4+6;;8;[1, 1, 2, 2, 1, 1, 1, 2];3;5.0;0101 010101;0405 040405;;w.S.wS.wS.w.S.w.Sw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;6;          la gran claror que dins vós tan clareja.;la#GRAN#cla.ROR#que#dins#VÓS#tan#cla.RE.ja;0;4;0;5;0;1;4;0;0;5;10;1;4+6;;8;[1, 1, 2, 1, 1, 1, 1, 3];3;5.0;0101 001001;0405 014005;;w.S.wS.w.w.S.w.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;7;          Ni per trobar en la mortal comarcha;ni#PER#tro.BAR#en#LA#mor.TAL#co.MAR.cha;0;2;0;5;0;2;0;4;0;5;10;1;4+6;;7;[1, 1, 2, 1, 1, 2, 3];3;4.0;0101 010101;0205 020405;;w.S.wS.w.S.wS.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;8;          lo mes gran rey que fos deball la spera,;lo#MES#gran#REY#que#FOS#de.BALL#la‿es.PE.ra;0;2;1;5;0;3;0;4;0;5;10;1;4+6;;9;[1, 1, 1, 1, 1, 1, 2, 1, 3];4;4.0;0101 010101;0215 030405;;w.S.w.S.w.S.wS.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;9;          vostre sant cos fon molt segura barcha;VOS.tre#sant#COS#fon#MOLT#se.GU.ra#BAR.cha;3;0;1;5;0;2;0;4;0;5;10;1;4+6;;7;[2, 1, 1, 1, 1, 3, 2];3;4.0;1001 010101;3015 020405;;Sw.w.S.w.S.wSw.Sw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;10;         on enbarcàs lo divinal Monarcha,;ON#en.bar.CÀS#lo#DI.vi.NAL#mo.NAR.cha;3;0;0;5;0;2;0;4;0;5;10;1;4+6;;5;[1, 3, 1, 3, 3];2;3.0;1001 010101;3005 020405;;S.wwS.w.SwS.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;11;         passant lo flum, mostrant-vos qu’Ell Déu era;pas.SANT#lo#FLUM#mos.TRANT#vos#QUELL#déu#E.ra;0;4;0;5;0;4;0;2;1;5;10;1;4+6;;8;[2, 1, 1, 2, 1, 1, 1, 2];3;5.0;0101 010101;0405 040215;;wS.w.S.wS.w.S.w.Sw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;12;         quant, en senyal, florir feu la palmera.;QUANT#en#se.NYAL#flo.rir#FEU#la#pal.ME.ra;4;0;0;5;0;1;4;0;0;5;10;1;4+6;;7;[1, 1, 2, 2, 1, 1, 3];3;4.0;1001 001001;4005 014005;;S.w.wS.ww.S.w.wSw|
Pere d'Anyó;d'Anyó, Pere;1400;1500;;València;valencia;Q85437428;;rao7.1-4;1450;False;;1.txt;13;         Al Qui los cels no pogueren compendre,;al#QUI#los#CELS#no#po.GUE.ren#com.PEN.dre;0;2;0;5;0;0;3;0;0;5;10;1;4+6;;7;[1, 1, 1, 1, 1, 3, 3];4;3.0;0101 001001;0205 003005;;w.S.w.S.w.wSw.wSw|
