autor_id;autor;naixement;defunció;gènere;ciutat;dialecte;wiki_id;viaf;obra;any;traducció;font;poema;núm. de vers;text del vers;escansió;1;2;3;4;5;6;7;8;9;10;síl·labes mètriques;síl·labes extramètriques;subdivisió;llicències;mots;l_mots;mots al còlon 1;mots al còlon 2;patró;patró_rítmic;encavalcament;metronome
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;1;          Ab gran sfors quasi forcí natura,;ab#GRAN#es.FORS#QUA.si#for.CÍ#na.TU.ra;0;4;0;5;4;0;0;4;0;5;10;1;4+6;;6;[1, 1, 2, 2, 2, 3];3;3.0;0101 100101;0405 400405;;w.S.wS.Sw.wS.wSw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;2;          de tant anuig fingí lo simular!;de#TANT#a.NUIG#fin.GÍ#lo#SI.mu.LAR;0;2;0;5;0;4;0;2;0;5;10;0;4+6;;6;[1, 1, 2, 2, 1, 3];3;3.0;0101 010101;0205 040205;;w.S.wS.wS.w.SwS|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;3;          Però no tant no·s mostràs la custura;pe.RÒ#no#TANT#NO'S#mos.TRÀS#la#cus.TU.ra;0;4;0;5;4;0;4;0;0;5;10;1;4+6;;7;[2, 1, 1, 1, 2, 1, 3];3;4.0;0101 101001;0405 404005;;wS.w.S.S.wS.w.wSw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;4;          per lo pedàs, que fonch d’altra tintura,;per#LO#pe.DÀS#que#FONCH#d'al.TRA#tin.TU.ra;0;2;0;5;0;4;0;2;0;5;10;1;4+6;;7;[1, 1, 2, 1, 1, 2, 3];3;4.0;0101 010101;0205 040205;;w.S.wS.w.S.wS.wSw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;5;          de tan gran foch qui pot lo fum çelar?;de#TAN#gran#FOCH#qui#POT#lo#FUM#ce.LAR;0;2;1;5;0;4;0;4;0;5;10;0;4+6;;9;[1, 1, 1, 1, 1, 1, 1, 1, 2];4;5.0;0101 010101;0215 040405;;w.S.w.S.w.S.w.S.wS|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;6;          justa rehó tenieu de negar!;JUS.ta#re.HÓ#te.ni.EU#de#ne.GAR;4;0;0;5;0;0;4;0;0;5;10;0;4+6;;5;[2, 2, 3, 1, 2];2;3.0;1001 001001;4005 004005;;Sw.wS.wwS.w.wS|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;7;          L’ora, lo loch e·l dia l’escusara!;L'O.ra#lo#LOCH#e'l#DI.a#L'ES.cu.SA.ra;4;0;0;5;0;4;0;2;0;5;10;1;4+6;;6;[2, 1, 1, 1, 2, 4];3;3.0;1001 010101;4005 040205;;Sw.w.S.w.Sw.SwSw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;8;          Vent-vos me fonch coltellada per cara;VENT#vos#me#FONCH#col.te.LLA.da#per#CA.ra;4;0;0;5;0;0;4;0;0;5;10;1;4+6;;7;[1, 1, 1, 1, 4, 1, 2];4;3.0;1001 001001;4005 004005;;S.w.w.S.wwSw.w.Sw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;9;          tal que la sanch no·s estancada ncara;TAL#que#la#SANCH#no's#ES.tan.CA.da#NCA.ra;3;0;0;5;0;2;0;4;0;5;10;1;4+6;;7;[1, 1, 1, 1, 1, 4, 2];4;3.0;1001 010101;3005 020405;;S.w.w.S.w.SwSw.Sw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;10;         ne·s soldarà que·ls punts no·s mostren clar.;NE'S#sol.da.RÀ#que'ls#PUNTS#no's#MOS.tren#CLAR;4;0;0;5;0;2;1;4;0;5;10;0;4+6;;7;[1, 3, 1, 1, 1, 2, 1];2;5.0;1001 010101;4005 021405;;S.wwS.w.S.w.Sw.S|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;11;         Tanta dolor prenguí d’aquella vista,;TAN.ta#do.LOR#pren.GUÍ#d'a.QUE.lla#VIS.ta;3;0;0;5;0;4;0;4;0;5;10;1;4+6;;5;[2, 2, 2, 3, 2];2;3.0;1001 010101;3005 040405;;Sw.wS.wS.wSw.Sw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;12;         sech, mut e sort volgués Déu fos stat!;sech#MUT#e#SORT#vol.gués#DÉU#fos#es.TAT;0;4;0;5;0;1;4;0;0;5;10;0;4+6;;8;[1, 1, 1, 1, 2, 1, 1, 2];4;4.0;0101 001001;0405 014005;;w.S.w.S.ww.S.w.wS|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;13;         Soptós me pres la gelosia trista:;sop.TÓS#me#PRES#la#GE.lo.SI.a#TRIS.ta;0;4;0;5;0;2;0;4;0;5;10;1;4+6;;6;[2, 1, 1, 1, 4, 2];3;3.0;0101 010101;0405 020405;;wS.w.S.w.SwSw.Sw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;14;         devant mi’s mès, guiat seguesch sa pista,;de.VANT#mi's#MÈS#gui.AT#se.GUESCH#sa#PIS.ta;0;4;0;5;0;4;0;4;0;5;10;1;4+6;;7;[2, 1, 1, 2, 2, 1, 2];3;4.0;0101 010101;0405 040405;;wS.w.S.wS.wS.w.Sw|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;15;         pres per lo coll me portà de mon grat.;PRES#per#lo#COLL#me#por.TÀ#de#mon#GRAT;4;0;0;5;0;0;4;0;0;5;10;0;4+6;;9;[1, 1, 1, 1, 1, 2, 1, 1, 1];4;5.0;1001 001001;4005 004005;;S.w.w.S.w.wS.w.w.S|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;16;         Jamés Amor va desacompanyat,;ja.MÉS#a.MOR#va#DE.sa.COM.pa.NYAT;0;4;0;5;0;2;0;2;0;5;10;0;4+6;;4;[2, 2, 1, 5];2;2.0;0101 010101;0405 020205;;wS.wS.w.SwSwS|
Romeu Llull;Llull, Romeu;1439;1469;;Barcelona;central;Q18002220;165679610;rao90.x;1460;False;;1.txt;17;         no·l dexen may Temor e Gelosia:;no'l#DE.xen#MAY#te.MOR#e#GE.lo.SI.a;0;4;0;5;0;4;0;2;0;5;10;1;4+6;;6;[1, 2, 1, 2, 1, 4];3;3.0;0101 010101;0405 040205;;w.Sw.S.wS.w.SwSw|
