Francesc Fontanella;0;1622;1681;Barcelona;central;nise;LMod;570
Francesc Vicent Garcia;0;1579;1623;Vallfogona;gironí;nise;LMod;1035
Pere Serafí;0;1510;1567;Barcelona;central;nise;LMod;2435
Andreu Febrer;0;1375;1444;Vic;central;rialc;LMed;481
Antoni Vallmanya;0;1429;1490;Barcelona;central;rialc;LMed;312
Antoni Pere Ferrer;0;1400;1471;Barcelona;central;rialc;LMed;30
Arnau d'Erill;0;1380;1450;Barcelona;central;rialc;LMed;134
Ausiàs March;0;1397;1459;Gandia;valencia;rialc;LMed;4480
Bernat Fenollar;0;1438;1516;Penàguila;valencia;rialc;LMed;346
Bernat Miquel;0;1350;1450;None;None;rialc;LMed;118
Blai Assenci;0;1400;1500;Sogorb;valencia;rialc;LMed;98
Dionís Guiot;0;1450;None;None;None;rialc;LMed;64
Ferran d'Ayerbe;0;1450;None;None;None;rialc;LMed;67
Figueres;0;1380;1460;València;valencia;rialc;LMed;32
Francesc Ferrer;0;1485;1500;València;valencia;rialc;LMed;441
Francesc Sunyer;0;1450;None;None;None;rialc;LMed;16
Francí Guerau;0;1450;None;None;None;rialc;LMed;191
Gilabert de Próixita;0;1370;1405;València;valencia;rialc;LMed;555
Jaume March;0;1333;1410;València;valencia;rialc;LMed;239
Jaume Roig;0;1400;1478;València;valencia;rialc;LMed;57
Jaume Safont;0;1420;1487;Barcelona;central;rialc;LMed;24
Joan Boscà;0;1490;1542;Barcelona;central;rialc;LMed;16
Joan de Masdovelles;0;1400;1460;Barcelona;central;rialc;LMed;98
Joan Fogassot;0;1450;1450;Barcelona;central;rialc;LMed;672
Joan Moreno;0;1450;1500;Regne de València;None;None;None;501
Joan Rocafort;0;1425;1471;None;None;None;None;92
Joan Roís de Corella;0;1435;1497;València;valencia;rialc;LMed;660
Jordi de Sant Jordi;0;1400;1424;València;valencia;rialc;LMed;630
Lluís Alcanyís;0;1440;1506;València;valencia;rialc;LMed;43
Lluís Icart;0;1350;1450;Tarragona;central;rialc;LMed;311
Narcís Vinyoles;0;1442;1517;València;valencia;rialc;LMed;1327
Pere Alcanyís;0;1440;1506;València;valencia;rialc;LMed;62
Pere d'Abella;0;1400;1450;None;None;rialc;LMed;12
Pere d'Anyó;0;1400;1500;València;valencia;rialc;LMed;180
Pere March;0;1338;1413;València;valencia;rialc;LMed;325
Pere Torroella;0;1420;1492;la Bisbal d'Empordà ;central;rialc;LMed;626
Romeu Llull;0;1439;1469;Barcelona;central;rialc;LMed;1120
Francesc Fontanella;0;1622;1681;Barcelona;central;nise;LMod;570
Francesc Vicent Garcia;0;1579;1623;Vallfogona;gironí;nise;LMod;1035
Pere Serafí;0;1510;1567;Barcelona;central;nise;LMod;2435
Andreu Febrer;0;1375;1444;Vic;central;rialc;LMed;481
Antoni Vallmanya;0;1429;1490;Barcelona;central;rialc;LMed;312
Antoni Pere Ferrer;0;1400;1471;Barcelona;central;rialc;LMed;30
Arnau d'Erill;0;1380;1450;Barcelona;central;rialc;LMed;134
Ausiàs March;0;1397;1459;Gandia;valencia;rialc;LMed;4480
Bernat Fenollar;0;1438;1516;Penàguila;valencia;rialc;LMed;346
Bernat Miquel;0;1350;1450;None;None;rialc;LMed;118
Blai Assenci;0;1400;1500;Sogorb;valencia;rialc;LMed;98
Dionís Guiot;0;1450;None;None;None;rialc;LMed;64
Ferran d'Ayerbe;0;1450;None;None;None;rialc;LMed;67
Figueres;0;1380;1460;València;valencia;rialc;LMed;32
Francesc Ferrer;0;1485;1500;València;valencia;rialc;LMed;441
Francesc Sunyer;0;1450;None;None;None;rialc;LMed;16
Francí Guerau;0;1450;None;None;None;rialc;LMed;191
Gilabert de Próixita;0;1370;1405;València;valencia;rialc;LMed;555
Jaume March;0;1333;1410;València;valencia;rialc;LMed;239
Jaume Roig;0;1400;1478;València;valencia;rialc;LMed;57
